url	league_name
15005	BELGIAN JUPILER PRO LEAGUE
111928	USA MAJOR LEAGUE SOCCER
306	REP. IRELAND AIRTRICITY LEAGUE
111773	CHINESE SUPER LEAGUE
110977	CHILIAN CAMPEONATO NACIONAL
110588	GERMAN 3. BUNDESLIGA
111019	ARGENTINA PRIMERA DIVISIÓN
1395	INTERNATIONAL
1480	ENGLISH LEAGUE TWO
112965	ARGENTINA PRIMERA DIVISIÓN
111993	ITALIAN SERIE B
110747	POLISH T-MOBILE EKSTRAKLASA
111130	INTERNATIONAL
1892	PORTUGUESE LIGA ZON SAGRES
110770	SWISS SUPER LEAGUE
112429	CHINESE SUPER LEAGUE
110929	SOUTH AFRICAN PREMIER DIVISION
111139	USA MAJOR LEAGUE SOCCER
111086	POLISH T-MOBILE EKSTRAKLASA
1905	HOLLAND EREDIVISIE
111724	CHINESE SUPER LEAGUE
112535	CHILIAN CAMPEONATO NACIONAL
1395	INTERNATIONAL
507	GERMAN 3. BUNDESLIGA
693	USA MAJOR LEAGUE SOCCER
142	ENGLISH LEAGUE ONE
1338	INTERNATIONAL
420	POLISH T-MOBILE EKSTRAKLASA
691	USA MAJOR LEAGUE SOCCER
459	SPANISH SEGUNDA DIVISIÓN
650	HOLLAND EREDIVISIE
1823	FRENCH LIGUE 2
110313	ENGLISH LEAGUE ONE
111393	AUSTRALIAN HYUNDAI A-LEAGUE
101097	CHILIAN CAMPEONATO NACIONAL
1415	INTERNATIONAL
111395	AUSTRALIAN HYUNDAI A-LEAGUE
112584	CHILIAN CAMPEONATO NACIONAL
112116	CHILIAN CAMPEONATO NACIONAL
112124	ITALIAN SERIE B
111396	AUSTRALIAN HYUNDAI A-LEAGUE
101148	JAPANESE J. LEAGUE DIVISION 1
112670	ARGENTINA PRIMERA DIVISIÓN
568	CAMPEONATO BRASILEIRO SÉRIE A
112260	ENGLISH LEAGUE ONE
1888	PORTUGUESE LIGA ZON SAGRES
101084	ARGENTINA PRIMERA DIVISIÓN
112444	JAPANESE J. LEAGUE DIVISION 1
101103	COLOMBIAN LIGA POSTOBÓN
101104	COLOMBIAN LIGA POSTOBÓN
2013	BELGIAN JUPILER PRO LEAGUE
101020	TURKISH SÜPER LIG
101007	TURKISH SÜPER LIG
417	NORWEGIAN ELITESERIEN
111398	AUSTRALIAN HYUNDAI A-LEAGUE
110081	INTERNATIONAL
110930	SOUTH AFRICAN PREMIER DIVISION
112134	USA MAJOR LEAGUE SOCCER
1797	ENGLISH LEAGUE ONE
111379	GERMAN 3. BUNDESLIGA
492	GERMAN 2. BUNDESLIGA
113160	JAPANESE J. LEAGUE DIVISION 1
101149	JAPANESE J. LEAGUE DIVISION 1
100804	SCOTTISH PREMIERSHIP
112410	ITALIAN SERIE B
110468	CZECH REPUBLIC GAMBRINUS LIGA
113147	ITALIAN SERIE B
15040	AUSTRIAN FOOTBALL BUNDESLIGA
112541	CHINESE SUPER LEAGUE
101099	COLOMBIAN LIGA POSTOBÓN
112847	ROMANIAN LIGA I
101033	TURKISH SÜPER LIG
110854	SPANISH SEGUNDA DIVISIÓN
112705	CHILIAN CAMPEONATO NACIONAL
112168	ITALIAN SERIE B
111722	COLOMBIAN LIGA POSTOBÓN
101102	COLOMBIAN LIGA POSTOBÓN
111821	AUSTRIAN FOOTBALL BUNDESLIGA
114147	ROMANIAN LIGA I
113183	JAPANESE J. LEAGUE DIVISION 1
113958	ITALIAN SERIE B
112075	AUSTRIAN FOOTBALL BUNDESLIGA
543	GERMAN 2. BUNDESLIGA
820	DANISH SUPERLIGA
101033	TURKISH SÜPER LIG
305	REP. IRELAND AIRTRICITY LEAGUE
269	DANISH SUPERLIGA
1327	INTERNATIONAL
1457	TURKISH SÜPER LIG
294	FRENCH LIGUE 2
1805	FRENCH LIGUE 2
101026	TURKISH SÜPER LIG
432	SWEDISH ALLSVENSKAN
1750	BELGIAN JUPILER PRO LEAGUE
682	BELGIAN JUPILER PRO LEAGUE
1844	ITALIAN SERIE B
1914	HOLLAND EREDIVISIE
1843	ITALIAN SERIE B
15009	AUSTRIAN FOOTBALL BUNDESLIGA
423	REP. IRELAND AIRTRICITY LEAGUE
983	KOREAN K LEAGUE CLASSIC
1473	KOREAN K LEAGUE CLASSIC
607	SAUDI ABDUL L. JAMEEL LEAGUE
741	TURKISH SÜPER LIG
1847	ITALIAN SERIE B
111327	CHILIAN CAMPEONATO NACIONAL
110831	SPANISH SEGUNDA DIVISIÓN
1330	INTERNATIONAL
1445	DANISH SUPERLIGA
112218	RUSSIAN PREMIER LEAGUE
898	SWISS SUPER LEAGUE
1043	CAMPEONATO BRASILEIRO SÉRIE A
1832	GERMAN 2. BUNDESLIGA
82	SCOTTISH PREMIERSHIP
83	SCOTTISH PREMIERSHIP
110227	RUSSIAN PREMIER LEAGUE
110169	GERMAN 3. BUNDESLIGA
1785	AUSTRIAN FOOTBALL BUNDESLIGA
1361	INTERNATIONAL
670	BELGIAN JUPILER PRO LEAGUE
111434	ITALIAN SERIE B
111716	ARGENTINA PRIMERA DIVISIÓN
110913	BELGIAN JUPILER PRO LEAGUE
111085	POLISH T-MOBILE EKSTRAKLASA
113391	ROMANIAN LIGA I
113345	SAUDI ABDUL L. JAMEEL LEAGUE
1962	ENGLISH LEAGUE ONE
112533	CHILIAN CAMPEONATO NACIONAL
110978	CHILIAN CAMPEONATO NACIONAL
110069	SPANISH SEGUNDA DIVISIÓN
111328	CHILIAN CAMPEONATO NACIONAL
112637	ROMANIAN LIGA I
1341	INTERNATIONAL
101144	JAPANESE J. LEAGUE DIVISION 1
111083	POLISH T-MOBILE EKSTRAKLASA
113158	JAPANESE J. LEAGUE DIVISION 1
111138	USA MAJOR LEAGUE SOCCER
111473	INTERNATIONAL
1937	ENGLISH LEAGUE TWO
110178	GERMAN 2. BUNDESLIGA
112836	JAPANESE J. LEAGUE DIVISION 1
1569	POLISH T-MOBILE EKSTRAKLASA
1039	CAMPEONATO BRASILEIRO SÉRIE A
445	REP. IRELAND AIRTRICITY LEAGUE
469	SPANISH SEGUNDA DIVISIÓN
1341	INTERNATIONAL
272	DANISH SUPERLIGA
631	SCOTTISH PREMIERSHIP
270	DANISH SUPERLIGA
418	NORWEGIAN ELITESERIEN
920	NORWEGIAN ELITESERIEN
1446	DANISH SUPERLIGA
112171	SWEDISH ALLSVENSKAN
113948	FRENCH LIGUE 2
111708	ARGENTINA PRIMERA DIVISIÓN
711	SWEDISH ALLSVENSKAN
111451	INTERNATIONAL
517	CAMPEONATO BRASILEIRO SÉRIE A
838	REP. IRELAND AIRTRICITY LEAGUE
1891	PORTUGUESE LIGA ZON SAGRES
112534	CHILIAN CAMPEONATO NACIONAL
110066	SPANISH SEGUNDA DIVISIÓN
113387	ROMANIAN LIGA I
112165	CHINESE SUPER LEAGUE
111723	COLOMBIAN LIGA POSTOBÓN
100766	RUSSIAN PREMIER LEAGUE
110752	ROMANIAN LIGA I
100628	HOLLAND EREDIVISIE
10032	SWISS SUPER LEAGUE
897	SWISS SUPER LEAGUE
110231	RUSSIAN PREMIER LEAGUE
982	KOREAN K LEAGUE CLASSIC
322	SWISS SUPER LEAGUE
111588	KOREAN K LEAGUE CLASSIC
184	SCOTTISH PREMIERSHIP
112425	DANISH SUPERLIGA
212	FRENCH LIGUE 2
299	NORWEGIAN ELITESERIEN
15001	DANISH SUPERLIGA
1904	HOLLAND EREDIVISIE
1786	DANISH SUPERLIGA
113157	JAPANESE J. LEAGUE DIVISION 1
1438	PORTUGUESE LIGA ZON SAGRES
111099	INTERNATIONAL
